"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Evergem";1,6;2,9;2,7;2,7;3,4;3,7;3,5;1,9;3,2;3,7;3,2
"Ganshoren";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Gavere";0,8;1,5;2,1;1,7;1,7;2,3;3,3;3,0;2,2;3,0;1,8
"Geel";6,1;7,4;7,8;8,3;8,8;10,0;8,0;7,1;12,4;12,1;13,2
"Geetbets";3,3;1,8;5,1;4,2;4,7;4,2;2,6;3,2;4,4;8,3;7,3
"Genk";5,5;5,7;7,3;6,3;7,9;7,6;6,9;6,6;8,5;8,5;9,0
"Gent";14,0;13,7;19,0;17,7;17,3;22,0;16,9;17,1;21,7;20,5;22,2
"Geraardsbergen";2,7;2,2;3,7;4,3;3,2;3,7;4,1;3,5;4,7;6,6;6,7
"Gingelom";2,3;2,2;4,6;1,9;3,9;0,6;1,6;1,8;2,8;2,2;2,8
"Gistel";2,7;2,4;4,7;4,1;5,4;6,6;3,3;3,9;2,9;3,5;3,3
"Glabbeek";1,4;1,6;2,6;0,0;1,6;3,7;4,2;1,8;1,8;1,3;3,8
"Grimbergen";8,1;5,9;10,3;9,3;10,6;12,0;8,9;6,5;9,2;11,1;9,4
"Grobbendonk";2,4;2,9;3,1;2,5;3,2;2,8;1,8;1,1;3,3;3,6;3,9
"Haacht";1,6;1,7;3,1;2,4;3,9;3,2;4,3;3,2;2,5;3,0;5,1
